Timestamp,Cycle,Countdown Type,LSL Data
1970-01-03 02:37:05.198579,2,Fifth Countdown,"[71.0, 67.0, 15.0, 51.0, 12.0, 12.0, 42.83333206176758, 37.0]"
1970-01-03 02:37:06.199459,2,Fifth Countdown,"[41.0, 54.0, 31.0, 87.0, 40.0, 55.0, 62.66666793823242, 59.83333206176758]"
1970-01-03 02:37:07.206944,2,Fifth Countdown,"[-14.0, -8.0, 17.0, 49.0, 34.0, 73.0, -10.0, -26.33333396911621]"
1970-01-03 02:37:40.854588,2,Fifth Countdown,"[14.0, 34.0, 52.0, 33.0, -5.0, 48.0, 24.5, 23.33333396911621]"
1970-01-03 02:37:43.341605,3,First Countdown,"[11.0, -34.0, 62.0, 42.0, 55.0, 45.0, 20.16666603088379, 6.0]"
1970-01-03 02:37:44.552858,3,First Countdown,"[-32.0, -45.0, -25.0, -2.0, 65.0, 60.0, 54.33333206176758, 53.33333206176758]"
1970-01-03 02:37:12.208527,3,First Countdown,"[-41.0, 1.0, 12.0, -55.0, -86.0, 0.0, 19.0, -1.3333333730697632]"
1970-01-03 02:37:47.031031,3,First Countdown,"[54.0, -2.0, 15.0, 24.0, 22.0, 9.0, 19.16666603088379, 1.1666666269302368]"
1970-01-03 02:37:48.265010,3,First Countdown,"[-41.0, -24.0, 36.0, 16.0, 4.0, 17.0, 7.333333492279053, 4.166666507720947]"
1970-01-03 02:37:15.204672,3,First Countdown,"[8.0, -8.0, -7.0, -16.0, 14.0, 2.0, -1.1666666269302368, 15.0]"
1970-01-03 02:37:16.212581,3,First Countdown,"[-21.0, -8.0, 5.0, -40.0, -53.0, -25.0, -23.16666603088379, -40.33333206176758]"
1970-01-03 02:38:01.429134,3,First Countdown,"[-91.0, -48.0, -16.0, -82.0, -87.0, -82.0, -30.0, -71.33333587646484]"
1970-01-03 02:37:18.219704,3,First Countdown,"[-2.0, 22.0, 58.0, -22.0, -38.0, 16.0, 1.0, 10.5]"
1970-01-03 02:38:02.428606,3,First Countdown,"[-8.0, 16.0, 25.0, 14.0, 25.0, 21.0, -2.0, 0.1666666716337204]"
1970-01-03 02:38:02.938272,3,First Countdown,"[32.0, -35.0, 28.0, 10.0, 4.0, -7.0, 12.166666984558105, 0.6666666865348816]"
1970-01-03 02:38:03.438575,3,First Countdown,"[39.0, 21.0, 77.0, 36.0, 14.0, 13.0, 43.0, 46.16666793823242]"
1970-01-03 02:37:22.215089,3,First Countdown,"[19.0, -40.0, 51.0, -28.0, -2.0, 1.0, 10.666666984558105, -11.833333015441895]"
1970-01-03 02:38:04.407199,3,First Countdown,"[8.0, -41.0, -16.0, 36.0, 32.0, 7.0, -0.3333333432674408, 10.166666984558105]"
1970-01-03 02:37:24.217686,3,First Countdown,"[22.0, 15.0, 33.0, 5.0, 25.0, -1.0, 0.6666666865348816, 9.166666984558105]"
1970-01-03 02:37:25.225361,3,First Countdown,"[-2.0, -21.0, 14.0, 4.0, -44.0, -24.0, -15.666666984558105, 6.833333492279053]"
1970-01-03 02:37:26.221763,3,First Countdown,"[-133.0, -6.0, -5.0, -95.0, -116.0, -74.0, -71.0, -83.0]"
1970-01-03 02:38:06.425053,3,First Countdown,"[66.0, 23.0, 25.0, 54.0, 52.0, 43.0, 62.66666793823242, 55.5]"
1970-01-03 02:37:28.221359,3,First Countdown,"[77.0, 58.0, 76.0, 84.0, 47.0, 51.0, 62.83333206176758, 58.0]"
1970-01-03 02:38:07.416715,3,First Countdown,"[-56.0, 48.0, -14.0, -26.0, -60.0, -76.0, -56.33333206176758, -53.5]"
1970-01-03 02:37:31.739189,3,Second Countdown,"[-12.0, -16.0, -21.0, -69.0, 24.0, 62.0, 14.166666984558105, 15.833333015441895]"
1970-01-03 02:37:32.732783,3,Second Countdown,"[-60.0, -16.0, -48.0, -54.0, -21.0, -31.0, -72.5, -75.16666412353516]"
1970-01-03 02:37:33.749001,3,Second Countdown,"[21.0, 26.0, 22.0, -34.0, -82.0, -59.0, 70.5, 74.0]"
1970-01-03 02:38:10.179213,3,Second Countdown,"[-3.0, 11.0, 27.0, 29.0, 15.0, -30.0, -9.666666984558105, -27.33333396911621]"
1970-01-03 02:38:10.694171,3,Second Countdown,"[7.0, 0.0, 2.0, 7.0, -15.0, -57.0, -36.5, -2.3333332538604736]"
1970-01-03 02:38:13.039338,3,Third Countdown,"[3.0, 41.0, -9.0, -12.0, -8.0, 8.0, -1.5, -2.5]"
1970-01-03 02:37:41.410663,3,Third Countdown,"[22.0, 29.0, 46.0, 7.0, -6.0, 43.0, -7.0, 4.833333492279053]"
1970-01-03 02:37:42.412465,3,Third Countdown,"[8.0, -13.0, 27.0, 5.0, -10.0, -7.0, 2.5, 12.666666984558105]"
1970-01-03 02:37:43.405845,3,Third Countdown,"[112.0, 29.0, 41.0, 64.0, 84.0, 52.0, 82.5, 74.66666412353516]"
1970-01-03 02:37:44.411343,3,Third Countdown,"[75.0, 86.0, 88.0, 42.0, -7.0, 21.0, 28.16666603088379, 24.16666603088379]"
